因子,术数,组,原子,期望值
子女宫吉星,ziwei,5,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,6,"宫含[子女宫,天梁,任意]",1
子女宫吉星,ziwei,6,结论,1
子女宫吉星,ziwei,6,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫化忌,ziwei,1,"宫含[子女宫,任意,化忌]",1
子女宫化忌,ziwei,1,结论,1
子女宫化忌,ziwei,1,依据,子女宫化忌主子女缘薄/刑克操心（《紫微斗数全书》子女宫四化论）
田宅宫财星,ziwei,1,"宫含[田宅宫,武曲,任意]",1
田宅宫财星,ziwei,1,结论,1
田宅宫财星,ziwei,2,"宫含[田宅宫,太阴,任意]",1
田宅宫财星,ziwei,2,结论,1
田宅宫财星,ziwei,3,"宫含[田宅宫,天府,任意]",1
田宅宫财星,ziwei,3,结论,1
命宫紫微,ziwei,1,"宫含[命宫,紫微,任意]",1
命宫紫微,ziwei,1,结论,1
命宫紫微,ziwei,1,依据,命宫紫微坐命（《紫微斗数全书》主星论）
命宫天机,ziwei,1,"宫含[命宫,天机,任意]",1
命宫天机,ziwei,1,结论,1
命宫天机,ziwei,1,依据,命宫天机坐命（《紫微斗数全书》主星论）
命宫太阳,ziwei,1,"宫含[命宫,太阳,任意]",1
命宫太阳,ziwei,1,结论,1
命宫太阳,ziwei,1,依据,命宫太阳坐命（《紫微斗数全书》主星论）
命宫武曲,ziwei,1,"宫含[命宫,武曲,任意]",1
命宫武曲,ziwei,1,结论,1
命宫武曲,ziwei,1,依据,命宫武曲坐命（《紫微斗数全书》主星论）
命宫天同,ziwei,1,"宫含[命宫,天同,任意]",1
命宫天同,ziwei,1,结论,1
命宫天同,ziwei,1,依据,命宫天同坐命（《紫微斗数全书》主星论）
命宫廉贞,ziwei,1,"宫含[命宫,廉贞,任意]",1
命宫廉贞,ziwei,1,结论,1
命宫廉贞,ziwei,1,依据,命宫廉贞坐命（《紫微斗数全书》主星论）
命宫天府,ziwei,1,"宫含[命宫,天府,任意]",1
命宫天府,ziwei,1,结论,1
命宫天府,ziwei,1,依据,命宫天府坐命（《紫微斗数全书》主星论）
命宫太阴,ziwei,1,"宫含[命宫,太阴,任意]",1
命宫太阴,ziwei,1,结论,1
命宫太阴,ziwei,1,依据,命宫太阴坐命（《紫微斗数全书》主星论）
命宫贪狼,ziwei,1,"宫含[命宫,贪狼,任意]",1
命宫贪狼,ziwei,1,结论,1
命宫贪狼,ziwei,1,依据,命宫贪狼坐命（《紫微斗数全书》主星论）
命宫巨门,ziwei,1,"宫含[命宫,巨门,任意]",1
命宫巨门,ziwei,1,结论,1
命宫巨门,ziwei,1,依据,命宫巨门坐命（《紫微斗数全书》主星论）
命宫天相,ziwei,1,"宫含[命宫,天相,任意]",1
命宫天相,ziwei,1,结论,1
命宫天相,ziwei,1,依据,命宫天相坐命（《紫微斗数全书》主星论）
命宫天梁,ziwei,1,"宫含[命宫,天梁,任意]",1
命宫天梁,ziwei,1,结论,1
命宫天梁,ziwei,1,依据,命宫天梁坐命（《紫微斗数全书》主星论）
命宫七杀,ziwei,1,"宫含[命宫,七杀,任意]",1
命宫七杀,ziwei,1,结论,1
命宫七杀,ziwei,1,依据,命宫七杀坐命（《紫微斗数全书》主星论）
命宫破军,ziwei,1,"宫含[命宫,破军,任意]",1
命宫破军,ziwei,1,结论,1
命宫破军,ziwei,1,依据,财星（武曲/太阴/天府）入田宅宫主置产置业（《紫微斗数全书》田宅宫论——武曲财星入田宅主房产丰）
官禄宫化禄,ziwei,1,"宫含[官禄宫,任意,化禄]",1
官禄宫化禄,ziwei,1,结论,1
官禄宫化禄,ziwei,1,依据,官禄宫化禄主事业顺遂有成（《紫微斗数全书》官禄宫四化论）
官禄宫煞,ziwei,1,"宫含[官禄宫,煞星,任意]",1
官禄宫煞,ziwei,1,结论,1
官禄宫煞,ziwei,1,依据,官禄宫煞主事业波折（《紫微斗数全书》官禄宫论）
官禄宫主星强,ziwei,1,"宫含[官禄宫,紫微,任意]",1
官禄宫主星强,ziwei,1,结论,1
官禄宫主星强,ziwei,2,"宫含[官禄宫,太阳,任意]",1
官禄宫主星强,ziwei,2,结论,1
官禄宫主星强,ziwei,3,"宫含[官禄宫,武曲,任意]",1
官禄宫主星强,ziwei,3,结论,1
官禄宫主星强,ziwei,4,"宫含[官禄宫,天府,任意]",1
官禄宫主星强,ziwei,4,结论,1
官禄宫昌曲,ziwei,1,"宫含[官禄宫,文昌,任意]",1
官禄宫昌曲,ziwei,1,结论,1
官禄宫昌曲,ziwei,1,依据,官禄宫强主星（紫微/太阳/武曲/天府）主事业有成（《紫微斗数全书》官禄宫论）
官禄宫昌曲,ziwei,2,"宫含[官禄宫,文曲,任意]",1
官禄宫昌曲,ziwei,2,结论,1
官禄宫昌曲,ziwei,2,依据,官禄宫强主星（紫微/太阳/武曲/天府）主事业有成（《紫微斗数全书》官禄宫论）
父母宫煞,ziwei,1,"宫含[父母宫,煞星,任意]",1
父母宫煞,ziwei,1,结论,1
父母宫煞,ziwei,1,依据,父母宫煞主父母缘薄/刑克（《紫微斗数全书》父母宫论）
父母宫化忌,ziwei,1,"宫含[父母宫,任意,化忌]",1
父母宫化忌,ziwei,1,结论,1
父母宫化忌,ziwei,1,依据,父母宫化忌主父母缘薄/操心（《紫微斗数全书》父母宫四化论）
兄弟宫煞,ziwei,1,"宫含[兄弟宫,煞星,任意]",1
兄弟宫煞,ziwei,1,结论,1
兄弟宫煞,ziwei,1,依据,兄弟宫煞主兄弟缘薄/不睦（《紫微斗数全书》兄弟宫论）
仆役宫煞,ziwei,1,"宫含[仆役宫,煞星,任意]",1
仆役宫煞,ziwei,1,结论,1
仆役宫煞,ziwei,1,依据,仆役宫煞主朋友/下属不利（《紫微斗数全书》仆役宫论）
田宅宫化禄,ziwei,1,"宫含[田宅宫,任意,化禄]",1
田宅宫化禄,ziwei,1,结论,1
田宅宫化禄,ziwei,1,依据,田宅宫化禄主房产丰盈、置业顺利（《紫微斗数全书》田宅宫四化论）
田宅宫煞,ziwei,1,"宫含[田宅宫,煞星,任意]",1
田宅宫煞,ziwei,1,结论,1
田宅宫煞,ziwei,1,依据,田宅宫煞（擎羊陀罗火星铃星）主房产破败/变动（《紫微斗数全书》）
田宅宫陷,ziwei,1,"宫含[田宅宫,任意,落陷]",1
田宅宫陷,ziwei,1,结论,1
田宅宫陷,ziwei,1,依据,田宅宫主星落陷主置产难（《紫微斗数全书》）
桃花,bazi,1,"含[shen_sha,桃花]",1
桃花,bazi,1,结论,1
桃花,bazi,1,依据,桃花主异性缘（《三命通会》）
华盖,bazi,1,"含[shen_sha,华盖]",1
华盖,bazi,1,结论,1
华盖,bazi,1,依据,华盖主孤高玄学（《三命通会》）
驿马,bazi,1,"含[shen_sha,驿马]",1
驿马,bazi,1,结论,1
驿马,bazi,1,依据,驿马主动迁（《三命通会》）
迁移宫主星强,ziwei,1,"宫含[迁移宫,紫微,任意]",1
迁移宫主星强,ziwei,1,结论,1
迁移宫主星强,ziwei,1,依据,迁移宫紫微（外出有贵人）/七杀（外出变动大）/太阳（外出显达）/天马（动迁）（《紫微斗数全书》迁移宫论）
迁移宫主星强,ziwei,2,"宫含[迁移宫,七杀,任意]",1
迁移宫主星强,ziwei,2,结论,1
迁移宫主星强,ziwei,2,依据,迁移宫紫微（外出有贵人）/七杀（外出变动大）/太阳（外出显达）/天马（动迁）（《紫微斗数全书》迁移宫论）
迁移宫主星强,ziwei,3,"宫含[迁移宫,太阳,任意]",1
迁移宫主星强,ziwei,3,结论,1
迁移宫主星强,ziwei,3,依据,迁移宫紫微（外出有贵人）/七杀（外出变动大）/太阳（外出显达）/天马（动迁）（《紫微斗数全书》迁移宫论）
迁移宫主星强,ziwei,4,"宫含[迁移宫,天马,任意]",1
迁移宫主星强,ziwei,4,结论,1
迁移宫主星强,ziwei,4,依据,迁移宫紫微（外出有贵人）/七杀（外出变动大）/太阳（外出显达）/天马（动迁）（《紫微斗数全书》迁移宫论）
迁移宫空,ziwei,1,"宫含[迁移宫,无主星,任意]",1
迁移宫空,ziwei,1,结论,1
迁移宫空,ziwei,1,依据,迁移宫无主星主外出无靠、宜守（《紫微斗数全书》迁移宫论）
迁移宫化禄,ziwei,1,"宫含[迁移宫,任意,化禄]",1
迁移宫化禄,ziwei,1,结论,1
迁移宫化禄,ziwei,1,依据,迁移宫化禄主外出发展有利（《紫微斗数全书》迁移宫四化论）
羊刃,bazi,1,"含[shen_sha,羊刃]",1
羊刃,bazi,1,结论,1
羊刃,bazi,1,依据,羊刃主刚烈（《三命通会》）
孤辰寡宿,bazi,1,"含[shen_sha,孤辰或寡宿]",1
孤辰寡宿,bazi,1,结论,1
孤辰寡宿,bazi,1,依据,孤辰寡宿主孤（《三命通会》）
寡宿,bazi,1,"含[shen_sha,寡宿]",1
寡宿,bazi,1,结论,1
寡宿,bazi,1,依据,寡宿主孤独、婚姻不利（《三命通会》）
大运比劫,bazi,1,"大运十神[当前,比劫]",1
大运比劫,bazi,1,结论,1
大运比劫,bazi,1,依据,大运走比劫运（大运为根）
大运官杀,bazi,1,"大运十神[当前,官杀]",1
大运官杀,bazi,1,结论,1
大运官杀,bazi,1,依据,大运走官杀运
大运印星,bazi,1,"大运十神[当前,印]",1
大运印星,bazi,1,结论,1
大运印星,bazi,1,依据,大运走印运
大运食伤,bazi,1,"大运十神[当前,食伤]",1
大运食伤,bazi,1,结论,1
大运食伤,bazi,1,依据,大运走食伤运
大运配偶星,bazi,1,"大运十神[当前,配偶星]",1
大运配偶星,bazi,1,结论,1
大运配偶星,bazi,1,依据,大运走配偶星运（婚姻窗口）
大运窗口,bazi,1,大运窗口[配偶星],1
大运窗口,bazi,1,结论,1
大运窗口,bazi,1,依据,大运为根（《三命通会》）
本命六合,bazi,1,六合存在[],1
本命六合,bazi,1,结论,1
本命六合,bazi,1,依据,四柱地支间六合（子丑/寅亥/卯戌/辰酉/巳申/午未）主合绊/合化之象（《三命通会》六合）
官杀取清,bazi,1,官杀取清,1
官杀取清,bazi,1,结论,1
官杀取清,bazi,1,依据,"官杀混杂取清（《子平真诠》""官杀混杂取清为贵""）：克我（官杀）柱被六合/六冲 → 合杀留官/冲去多余 → 由浊转清"
宫破,bazi,1,日支冲刑害[],1
宫破,bazi,1,结论,1
宫破,bazi,1,依据,夫妻宫破（命理通论）
本命婚凶,bazi,1,伤官克官,1
本命婚凶,bazi,1,结论,1
本命婚凶,bazi,1,依据,本命婚凶信号集合（《滴天髓》《紫微斗数》）
本命婚凶,bazi,2,食伤克官,1
本命婚凶,bazi,2,结论,1
本命婚凶,bazi,2,依据,本命婚凶信号集合（《滴天髓》《紫微斗数》）
本命婚凶,bazi,3,比劫夺财,1
本命婚凶,bazi,3,结论,1
本命婚凶,bazi,3,依据,本命婚凶信号集合（《滴天髓》《紫微斗数》）
本命婚凶,bazi,4,贪狼化忌,1
本命婚凶,bazi,4,结论,1
本命婚凶,bazi,4,依据,本命婚凶信号集合（《滴天髓》《紫微斗数》）
本命婚凶,bazi,5,宫破,1
本命婚凶,bazi,5,结论,1
本命婚凶,bazi,5,依据,本命婚凶信号集合（《滴天髓》《紫微斗数》）
旺夫信号,bazi,1,得令[官杀],1
旺夫信号,bazi,1,现[伤官],0
旺夫信号,bazi,1,"直读[gender,female]",1
旺夫信号,bazi,1,结论,1
旺夫信号,bazi,1,依据,女命官星旺而无伤官制 → 旺夫帮夫（《女命赋》官星得地为旺夫）
旺夫信号,bazi,2,有根[官杀],1
旺夫信号,bazi,2,现[伤官],0
旺夫信号,bazi,2,"直读[gender,female]",1
旺夫信号,bazi,2,透[官杀],1
旺夫信号,bazi,2,结论,1
旺夫信号,bazi,2,依据,女命官星旺而无伤官制 → 旺夫帮夫（《女命赋》官星得地为旺夫）
主妇信号,bazi,1,有根[官杀],1
主妇信号,bazi,1,"直读[gender,female]",1
主妇信号,bazi,1,"透[食神,伤官]",0
主妇信号,bazi,1,结论,1
主妇信号,bazi,1,依据,女命夫星（官杀）得地可依 + 无食伤透干（不事外职）→ 持家为主（《女命赋》官星得地为夫有依、食伤透干则心向外职）；0016 主妇
官印相生,bazi,2,"透[正印,偏印]",1
官印相生,bazi,2,"透[正官,七杀]",1
官印相生,bazi,2,结论,1
官印相生,bazi,2,依据,官印相生（《子平真诠》）
日主木,bazi,1,日主甲,1
日主木,bazi,1,结论,1
日主木,bazi,1,依据,日主五行木（甲/乙）——断语表纯取值引用
日主木,bazi,2,日主乙,1
日主木,bazi,2,结论,1
日主木,bazi,2,依据,日主五行木（甲/乙）——断语表纯取值引用
日主火,bazi,1,日主丙,1
日主火,bazi,1,结论,1
日主火,bazi,1,依据,日主五行火（丙/丁）
日主火,bazi,2,日主丁,1
日主火,bazi,2,结论,1
日主火,bazi,2,依据,日主五行火（丙/丁）
日主金,bazi,1,日主庚,1
日主金,bazi,1,结论,1
日主金,bazi,1,依据,日主五行金（庚/辛）
日主金,bazi,2,日主辛,1
日主金,bazi,2,结论,1
日主金,bazi,2,依据,日主五行金（庚/辛）
日主甲,bazi,1,日主十干[甲],1
日主甲,bazi,1,结论,1
日主甲,bazi,1,依据,日主甲木（十干性格基调——参考 mingli-skills phase6）
日主乙,bazi,1,日主十干[乙],1
日主乙,bazi,1,结论,1
日主乙,bazi,1,依据,日主乙木
日主丙,bazi,1,日主十干[丙],1
日主丙,bazi,1,结论,1
日主丙,bazi,1,依据,日主丙火
日主丁,bazi,1,日主十干[丁],1
日主丁,bazi,1,结论,1
日主丁,bazi,1,依据,日主丁火
日主戊,bazi,1,日主十干[戊],1
日主戊,bazi,1,结论,1
日主戊,bazi,1,依据,日主戊土
日主己,bazi,1,日主十干[己],1
日主己,bazi,1,结论,1
日主己,bazi,1,依据,日主己土
日主庚,bazi,1,日主十干[庚],1
日主庚,bazi,1,结论,1
日主庚,bazi,1,依据,日主庚金
日主辛,bazi,1,日主十干[辛],1
日主辛,bazi,1,结论,1
日主辛,bazi,1,依据,日主辛金
日主壬,bazi,1,日主十干[壬],1
日主壬,bazi,1,结论,1
日主壬,bazi,1,依据,日主壬水
日主癸,bazi,1,日主十干[癸],1
日主癸,bazi,1,结论,1
日主癸,bazi,1,依据,日主癸水
月支长生,bazi,1,月支长生[长生],1
月支长生,bazi,1,结论,1
月支长生,bazi,1,依据,日主在月支长生十二态（长生/沐浴/冠带/临官/帝旺/衰/病/死/墓/绝/胎/养——参考 mingli-skills phase6）
官杀为用,bazi,1,"为用[正官,七杀]",1
官杀为用,bazi,1,结论,1
官杀为用,bazi,1,依据,官杀五行属用神/喜神——官杀为用（《滴天髓》用神为枢；引擎五神体系）
官杀为忌,bazi,1,"为忌[正官,七杀]",1
官杀为忌,bazi,1,结论,1
官杀为忌,bazi,1,依据,官杀五行属忌神——官杀为忌
财为用,bazi,1,"为用[正财,偏财]",1
财为用,bazi,1,结论,1
财为用,bazi,1,依据,财五行属用神/喜神——财为用
财为忌,bazi,1,"为忌[正财,偏财]",1
财为忌,bazi,1,结论,1
财为忌,bazi,1,依据,财五行属忌神——财为忌（富屋贫人）
印为用,bazi,1,"为用[正印,偏印]",1
印为用,bazi,1,结论,1
印为用,bazi,1,依据,印五行属用神/喜神——印为用
印为忌,bazi,1,"为忌[正印,偏印]",1
印为忌,bazi,1,结论,1
印为忌,bazi,1,依据,印五行属忌神——印为忌
食伤为用,bazi,1,"为用[食神,伤官]",1
食伤为用,bazi,1,结论,1
食伤为用,bazi,1,依据,食伤五行属用神/喜神——食伤为用（泄秀）
食伤为忌,bazi,1,"为忌[食神,伤官]",1
食伤为忌,bazi,1,结论,1
食伤为忌,bazi,1,依据,食伤五行属忌神——食伤为忌
比劫为用,bazi,1,"为用[比肩,劫财]",1
比劫为用,bazi,1,结论,1
比劫为用,bazi,1,依据,比劫五行属用神/喜神——比劫为用（帮身）
比劫为忌,bazi,1,"为忌[比肩,劫财]",1
比劫为忌,bazi,1,结论,1
比劫为忌,bazi,1,依据,比劫五行属忌神——比劫为忌（夺财）
配偶星为用,bazi,1,"直读[gender,male]",1
配偶星为用,bazi,1,财为用,1
配偶星为用,bazi,1,结论,1
配偶星为用,bazi,1,依据,男财/女官杀为用——配偶星为用（配偶优秀且助力——《滴天髓》用神为枢）
配偶星为用,bazi,2,官杀为用,1
配偶星为用,bazi,2,"直读[gender,female]",1
配偶星为用,bazi,2,结论,1
配偶星为用,bazi,2,依据,男财/女官杀为用——配偶星为用（配偶优秀且助力——《滴天髓》用神为枢）
配偶星为忌,bazi,1,"直读[gender,male]",1
配偶星为忌,bazi,1,财为忌,1
配偶星为忌,bazi,1,结论,1
配偶星为忌,bazi,1,依据,男财/女官杀为忌——配偶星为忌（配偶条件一般/不利）
配偶星为忌,bazi,2,官杀为忌,1
配偶星为忌,bazi,2,"直读[gender,female]",1
配偶星为忌,bazi,2,结论,1
配偶星为忌,bazi,2,依据,男财/女官杀为忌——配偶星为忌（配偶条件一般/不利）
印星得地,bazi,1,"有根[正印,偏印]",1
印星得地,bazi,1,结论,1
印星得地,bazi,1,依据,印星得地有根（《渊海子平》印绶喜得地）
印星得令,bazi,1,"得令[正印,偏印]",1
印星得令,bazi,1,结论,1
印星得令,bazi,1,依据,印星得月令（《子平真诠》印绶喜得令）
财星受克,bazi,1,"克[比劫,财]",1
财星受克,bazi,1,结论,1
财星受克,bazi,1,依据,比劫五行克财星五行——财星（父星）受克（《滴天髓》比劫夺财；0047 火旺克金父星受克）
